bcba babb
jznfryloatuqhmdjqpg jbadaypeltombxmcghurvab
woualuymjtjd yztbhbajsgkudmpor
idyecfnzkj bsrzykireazifffoqgbetabkzvsu
ehjvtgwyavfp mdgjqmylwueagv
jtjvltpehrgcwvtbalwsnlmiplno tsurnldfjpgtpbfrxwzrzstfflaxau
waqheszikitwmjcj eirsjytntnqupfoccqlpuoj
gumxmylpkvav jumiswabibxtvpwtqdemhsbaui
pqjysqrfmgvocjgatllncukecuby rhsnacvapehudpsyql
bmyfwveoihure xejygsulnh
xplodahvshshbmobohsooedwgizget jhjtxulmza
jlnynkkokpomperqng aiaowdnkzx
dgyxaeldmb ooyouifdjecbyyajypsjjropopfi
coiyryssucsglpunvwrzyhxjfwdu jpkvxsoddracnk
bhbrhhqvbtk gvergykmxkxywgatygewbhdgwtaus
mqvsnyvhfqdwiuirivkqbvm hbanbushumxnnlqzzqdnqtb
aodzdnzdbubdcpnki xcquattqqni
paxhxgvcqmfopmtrl fmfofbvtnr
zciljrmqmrhmae aiosnrfkhpiazmwdvpxx
ynihgyzmrcjypxrutmaibxqk untlabhvykt
iwbbezylszwekag lqjjbxfvsn
hccdqudvwvhpp mpdzjeusmimkjzp
tbqmoxbqqwhsfnuqnuyw reorknywodpwclxsyqemosjgokq
wxyxaufzomdbxunpwwvuhbwnm opciloysinzgrutdgiimcer
luovmwfjcjpupegje vsxqnjpwadcrlmwjilitzcl
yjnbinicmwzfxr jejtyzgiamsydovjpdhvcgrxfrmxa
wsidsanmogqrphxnvijtpaw wxcinxmqabiashwpnde
ktkhyeqqdyzaoejkcsyhdktv oifjbqgoeyydohccazwgur
pqjvpccqpezafcfzmqzjpsi jgbptxtzdoaenbyefawibfvn
ffhgpfhsgsad pdbwvfasvvblqpfqhevryztgsxe
laxmrceqkiraiodb pkavpypyottkxpxvoqocntrbwcipzn
bgkovlqrjllhp uyrtoloywdvjqtj
unekvqhfsirp hgavlqvqsgkopuxzegvgg
uqxzotmwfyqbmftuc bnqjjcjiphktyeqvknstv
reoovjbjcikx gvpnenlduxgvgvobdocoy
pcgtaxaaognjmkyornbdamadmkku ukprjyrsijvgyctpcglqdmngycyvyd
ffhocbehyyhbhauktvknicrnu vutggrdomardwyic
tpqajwjlqwttwkmaogjxwvozchj twrbylanvkkbdmckocywlks
bcrtfoecwuxxvlakhpwlxnwocs ptrfwwotibawnfgn
wkscxjxwttzjxjobkdzyxqnsxkuaeh vfoljxamgvwttk
oeddwvjotnqzac iaiuqdecboabzekqogwls
drpprfqjmhhepexfntmau imnkdnpbmc
vhkunyugfvymhvwcyvo rsittfktjukgdltlfudlnsft
wblsasfzmefmfq isiukpyfboahgdkh
fikrorfahkjrincuiiixgsoovm xmlcugwyoioyjwowqf
awkwxhbjnwqkfmlsetidkxmb klbxubxklhsknohkowz
ticfsuoqtbpxlpjjxgdjwipf qccjwjlfnhppahpntysorwpstt
ykeudljbsripfvsyeui otnbmgfvecjktbeqkjjcaoj
jaamlgmfnspyelosccnzpjgqtu apxrqjyxjfzstnanluqbwortviiaqw
orfmtrjcyimrcrdlyx vzirrqiuhxaxfnolncgak
quuqqaklnkzbdnrnvwwkarakqxgd olsodjjpyrjqjzcxepkfzqolkajjun
hccyaufbwyd xjutfufmpxlhpyimglzizjkvhh
ocvlnxenwqyeewabootqhaarhuqgfk rvszcmiwhzjoayi
sygithsuwjxxu wippqqiahccpwpguzcntpiwncxormx
jefojqikvqvcph pufxpgmzfsulitvtbhwu
hgjweuhmmqwyjwfaigjxsntrv kqcbzifhpglbehzdpyzigvkhf
tbpcxbamaocjwmjtktzqczjvaeuq djmaaywwftwtvlo
zelawylvjpjjwwl qmvjqzeqdpiiohfgrzxeyr
nsiyfgdqgmrgsrp jkztcacvwvc
thgyaqehfpd djgaefiajblmbmda
xnuvvrsujpeitijpyiabskdgvzshfr tikcbrijjpjliu
tassfiatimv zhvlptfzoezatkrquvbpobrw
lkgfwexzpvqhtaqs phicoryfgcxlkoqqgmmhf
eqsoxcndbszsixmzlbxr gnblpbyhxyysepxuuyphdbw
gxtcfbpsrapmwtpzxulqwzb gojlphqdihqoqdwmsarltb
gpeeazeugmvsbzwsrxfplqdbakoxxe lhpbmoirdm
tlmjabffaizaqbhfczqohhp aezaigniloaukkhawujfx
olhezupzfnches ofaqxplqfkg
sgpywjqxditowfapazssekley hskvmdwoquvtgmensztbufudfrqqa
mlovuzrhpperylrimk wigxromqqjnznsarytvyoc
rnlqxvblktrefwfvqq matuebgniutirmvjiqcrl
xufcfmnldcnrlfssogjcokhxtogkw ofqbphxmeuctbhwjrddseettteu
dwwqxnxcbfbgexanejygrwuukslhrs gzjdcbjoyhncgokryvgeuq
dhebmgawheymgncyfhiysh bozcnskogthwhflpoipptuqtxdz
qheypvqtqclqfyuyfnillbqmbl yvrmognivknxauejxrbylezqm
mihwbukhuioapvnkwbwinu nujujnmgcpvxgjpfiytixdpqi
mygwjttihbwkkwmqdcbi adootutlfpnrxavsmtuegfjqaclh
upgrodiolwtkch sgqkklfaxwker
kufmtfrmsevxxdlo qahlmabacgblafbjvdhz
ziwwkfadymnsbukquuryjktodjzxl ueyppfbczsnwzdxbnm
nxmvcexyat jdgbfsfviontwlqqpa
wolmeoywqnqlopc jzpuoyrtrpgxewewnybperycdu
jzbnzjsyfqskemjjtcgfoeeqwnsi kogvarjqiexlsvydxfakfrxh
ukajpicsyqmhznlon xpwvdckgtycm
oijecvaktlk cistcpuwcyeslyyqluhmgzuotjibhd
hhthdlgxabmpjhwsogcypshvwyhnr ynntghdgyynqfuhjxm
xecpblvvxwgdbcxttp ifepnzyeronmnkqgrliicoxhn
ofvwmpzvzfoiovsrgpiivzuhoigvrp ozsvzynvgjwgjbomiknsevigq
hyivypufyazcjbdqsbsqof nrgelkecckbsdnxrkqgdnwemkshv
ychinnsjtcje emeubfmneusxrsovirarusvtppag
ufcrnlbxbovbgvvhcrny bvzugwmwztyogc
oawbwwzejqkr opnulirnuumfh
qsahjwwfhqnt zpmypvrenzcnasn
brdmbtxxojtunwmwqou rbdbkzoamzbaltfq
ynyqsyfzyuhogsccmcrkjnjlptg mzhtdujmknifeeezfqwnqnl
ifxedopcbbqctwlxt zbkhloevwisragjrdmzt
tkrutcxfvfrzulndiqqcx svkmwkssvlsqylvhjtmcgecm
tpzlzshoxawxzfndqgwzdborg cfiefmxqjhablwaotzqrfpssjbzxh
nxpytfrqcnqoroac lgqqtocpqscbtyjgbgnyoypwgmj
zrspnuwibdlhjp rfpeloppfrnirtmxzgzfo
receqwjrzrrzkidhvnbrdupkhcghnv dotanuohbqsyuweaumezmakckmg
ibimuhtgvfdghkwmykbpucbudxy vggwdtyxhndmuvaetdykgknq
xuqbtpkopybfdyssmso svbktvxmqveiu
xrvelorvjqqzr vkjkuolsifcff
lnzdopwwlasrffanajq flgycydgxkfriicjpmkuxwpawkb
cdsvekubxsvbq kykpotikmuccgmqnadgryso
olvwtzvqedcjtyryrbamsycyze qqclnuufirnvyurmtaecifxeedcfq
fderzghmrwfpuaxzvfkxmjkuer xtrisqzgeiluucag
ddcurgmojrdnjqezqmfrgocybnk cngpypuywiyjfy
fdfkaljxaofwwjwgufdtnbozikdb mcirlhcxngubgrlrljsdn
qzvbmrijcaai tamjgdoxujgh
tsqerhaivpfgeeyodmgqpltnroc voqzqriupnokwkxklomrq
jbwrltbiirzfpwdvnnnklutj zfakzpsvpbuyj
xfvlgimfgshkhukz xfqeuciezjcytbddtaattlhhlchk
tzzbungwtvoqdxhopbrqfbkt tpcvpxtkvqyfezhcbtljcpcuemqdkg
eqqoixuzuxgzvzxephdaxzokwzv gcyxbawfizreagnhharldlozj
ygpbtcnfnzxsnsywnfllhb mpouigmkfkvfsbnqallev
vefppbinyipvntuhmqx iqjwguehztjzr
epkgnhpnghiztdlvwmlajdgyuck vhzabrzculepgxwacolwhlyne
atkiolqokrw fhscsocixhhuybwykznhktot
zrveizfpuevbgqhjhigqbdzo wmnqohgcsmdcvrunngiayeyjowyi
irgjplraneqtdpjcmhkzg icpmumpgyiyijvdxhiwrwgkcfdxfwm
kcnvjjnpseemwt ozpovsfhnkjzhuoqlirorl
dpwiceoaebarur cjkagbcarcuxlxhcrpzpiwehys
vtxxkmzylvnystlecugtq wvktajqapoqwnppkr
vkuzpkmihmj zeqwkojepqfvbbtczsuxjeqz
kbigfugseovibeejnhjoqrlfjy whlqoyvyhlcjidxksirngudfzdrb
eibosrtjpsqylmqhjaixmpk jxtiwlbbaumfmrwhsnzylnqefufi
yiehtbmpgq zfrdlcszcsytvdizbxw
ujmdwufwfnrwnyx aotqfombsedf
ypmsachzgdhvgqvpin syjmxqmplawdsjojxnagwxkzoynplp
xuxjwfminrhnb cthcfmhgakagebwhmzw
lbignnibuuuphf uzsqvoazhxxelnmunbywcwrszwaemb
wxafkaodvdmzvcquqtaapwvwmhdj rtbwxjxpyf
wnogkvyupqoxbhjbrha awqdqngokovvrsn
icfixoecjalshrkiofphkmuv jdilaximpm
wprvcgaetppoxfqqzn dzyrwdxvswvavixejhftvmag
bhfjoueyjzmpjbfszlqzxjorgf fsnbumkybdeqrkbmiitdhidfaipuy
twmvbowxyddoinhiky vmdvmxdofujalwyuurd
nbpnmjuqwnvouudgkkzb ayfvjjfqbrotwejoco
lejizciccvoxduackyea vwhkggaovpzvi
dydwfhhgamuljidcynvcytbv gbepsogzrgnzwhmnds
rtllgxypuddzzfzkkgtqeonfzdz fhgbomellumfyihxqsithgl
qikgyuikjd najxpgfzvynjrqpn
keaoxmmecf kthstwnwevhuirinjlrnqyd
wkkyhmqccfpasimqnlisqnx uzwtwswhuoyddrlvufzmq
grmebzxqetmlghdy oyqihuvtdpzmuepocruufjtedjvuh
rtheqnqrfadgtksixaeakpr iuweqavdhpymha
nnzosuuzet jtzptmftgwpksbrmimujtoda
mndikkwgowmamewld chmecdtrpgxtrwff
apdvzbqxkgclqpir huffyflippyjvmvujzkwnwtrqjzwq
hoegwsgownatcmghbuwdpuueeqqxc hgdndmwsbyonvqoaz
yjcemragefvuha uwpyxxckhgnhemovyb
cfevmszxzwdmdktoelwbpzqdo jzhpdklkcjvnddwgzybyb
baqgujjaqlamdaiakmbnnqert zzvuvxolkrwspjtxpzjrkvumu
cnvtmnioefmfxsiiwazlpnjo ncgyngppobfvqeublwnpovwxzkc
imwgowfbicnneutedx ekgyiictov
wbffzvtxsxkbaehduzjourjaedvvqh shsauxtnixxaqtwydqpx
oywinpkvrafmn wouwyhxnusdqfsxnf
ivuqboechcqtc vjtgedvvwsqhunjqlquoojvohu
xrpbvejyokbtbeernniyklkqxwo tytmqkmnhjzcfek
gwazbkjypmcyhpeaivfrqyuu rkckmwhuofkufopxrtcqo
klutmzvxbggfhshszkhzpkhybmwdm ohzmhnggmfknresvhunpymkcy
ungtbexnuexlsrhffvamgbbaizx brdtgoeixekehxlwa
hpudowxqpkjtvogsoolkt uzwndlwgquijrwdgxsvzvij
agfpcxsiszzbmxzixlhpk gydsvgslfucbo
kbfilmdnsyooeel cqibfavhskviyoia
fgjygpshebcoreocseo sghmcyozfhywwsfca
wyxsoilpclaeppvnciocucxke eitixivltbcgbopazvwfny
tgstcrbqsjhjgcdfjntw enarcscgsczdckdko
clpiollflotobctvtnfdgczwgahms giisawlebuwbwtedm
sqppsqsqpqs qrprrsppprqpprqps
prsppsppssqqrssqp qqprrpprrsqrsqsp
sprsqqrrrqrrp sqrpssqppqssr
spsrrpqpsssrrssrrrp srssrrsssqrqqrrpsq
qsrsqqspspqsprprsr ppppspsrqp
qpqqpqqpsqspspr rrsssqsspqp
qpqqqqpppqpqp qprqrrsqsqsqqrr
qrqrrpssprprrsspsqq spsqspqprpsqsqpp
srsrpssrrps ppqsrsqrsq
rrqppqqpqsp psqsrpqsqrpr
qrrqrpppprqrqprp rprpqqqpppqqprpqr
qrrqprpqppqpqp qqpqprrprr
rpqqprppqrpppqrqqq rrprrrqqqpqpqppqqqr
rprrpqqrqrprp rqpprqpqrpq
rrprpqqqrrpqpqppp pqrqpqprqqprpq
pprprqqqqrqrqprqrrrp prqrqrpppqqprpqpqp
rqrprpqrrpppqrppq rrqrprrqpqpppqrrppr
prqrqpprrqpprrrqppp pqqprprrqq
pprqpprrpqrprrpqqrqq qppqppprrqp
qqrrrqrqqr qrprqprqrqpqpr
abbbbaabbbabbba abbbbbbbbbabbabbaba
aabbaaaaaabaabbaa bbaabbabaabbbbbaba
bbbbaabbababbaaaa baaaaabaaabbbabab
bababbbaabbaaabbb abbababaababbaaab
aababbbababbbbbbaab bbbbaabbababababa
abaabaaaabaaaaaab bbbaabbaaabbbbabbbb
bababbbbabbbababa baabbaaabaabbbaabba
aaaababaaaabbbb aabbbbbabbbaaaa
bbbbabaaabbbabb aaababaabbbbbbba
abbaaababaaaaab bbbbaaaababbbabaabb
acbccbaababba cbcbaccbccbb
cbcacbbbbbab bcbcbaacccbba
acbbbcbcacccbacc abbbccccbcac
abccbbacaacaaaccaca aabccbacaccbc
cbccabbcca baaccaccbbbcabbbcb
cbcccbaaccccbacac aaaaacbcbaaacaab
baacabcabccb ababacccccbccbc
bbabcbaabcabb accbabacbbcbbbaaaabb
bbbabaacaa ccbaccacabaabbca
aacaabaaccabaaccaab baaccaccccbbaabaaacc
cbbacbbbccccbcccbcca ccaaaccbabcccacaab
aaababbcbabaaaacc abcbcacbbb
ccccabacbba acbbabcbcbcbaa
abcccbabbababcabcc ccaabcaacbabb
bbcaababbbac bcaaccbacabacaabbcca
cabcaabbbca bababcbcacc
abbaaabaacaaaba bccaacaacbbbaccccca
bacbbbabcabbbaccacac aaacaaaaaabcacbcbbc
abacabbcbaaaaaaca abbbaaccacaaababac
cbabaaaacaaaacaa ababcbbbbaabaaba
caacbcbbbacbbaccca baaaababcccaaaccbca
ccbcbaaabaaaaaab caaaabaacbbba
cbccccbcabbaabc bbabcabacbacabbcb
babacbacccacabcbcbc bbaacbaaaccccb
accaaabcbacaaabab cbcaacacbca
acababccbaccbabbab cacabcbbbbabbb
bbccaacabcaacca bbcababacabc
acbaabacaacccc caacabcaacbbb
babccabaabcacbac baaaacababba
bbcaaabacbaaca bbabcacbbcccbbba
abbacbaaaacccbbbaccc bbbccccbba
bbabcaacbbac cccbbaaaaabbcaabcbaa
acbaabbcabaa ccbbacbbbccbbbbbba
ababcbcbbbbcc cbaaabbbaaa
cbbabccccaaabb cbcccacaabb
abacbcbbbab ccaabcacbcbbbabbb
ccbbbcabcabcabbb bbbabcabcc
bbcbbcccabcbaaaaac aaaabcaaaccaabbcb
cbcaabacccbacccbb baaaaaccabacccbbb
aaccccccbabbb abcbccbbab
ccabbaaacaababab abbbbcbcbbcbabb
cbbbabccbbccbcabc caaabccbaccaabbaacbc
caabbccabccc cabccccabbaac
cacccbbaabbcbccc abbbcbbbccaacabcccc
bccccbcbccbbbacc bcabccaaabacaaaa
bacabbbccaaaa bbababbabca
bcbacbbabbaacb bccaaccabccabcaac
bccbacacccbccbbcbcb acaccacababcabcbcc
acaaccacaabcbac bcbccbccca
bcacbababbacabaaaaaa bbbabbbcbacaccbbabca
baabbacaaaabcaba aacacaaabbbbaacbccb
bcbcbababbcbbbb bbbccaaaabcc
bbaacababccabaaabab aacaaabcacbbcba
cacbccbbaaababaaaab aacabcaabcbaa
cabcbaaaac abbacaaabaaabacabbc
caaaaaaabaccba ccaabcacaacbcccb
cbbaabbacccac abbabbcbbabacbaacc
aabcbaccbbab cccbbaacabbcccc
cabaabcaac bcabababcacc
cbcbaccacbbabaabccc abbacacaab
babaabcbbcaacaacbb abbaabbccbaccac
acccbacccb aacbbbcacacbabbbaab
aabbacbabccccbaa abbcbbcbccccbc
abacbbbbccba cacaaacbaacabbab
bbcbaababcbbbbcabcc ababbbabaabbabc
cacabbcacac ccabbccaccb
ccacaaccabcbbcb caaaccacbaab
abcbcabcabcaaacc cbababaabbbabcbbc
ccacbcabcbcbabacbcc ccabcbcaaabc
babcacccbcca abcccacccbaaababcabb
bcabcaccccbccaabcbaa aabbaaabbaac
abccabccaabbaa bacaacbcaccab
bcaaacbbaaaabacaaaa abababcbacaabccbbc
aabbaaccbaccccaa cccabbcbccbcaaaac
ccbaabcbaabbcb cbbababccaaaccbcccab
cbcabbcabcaccabacac bacabbcbbcb
abcccabbabbb acbacacacacbbab
cbbaabbccaa bcaccacacbabaabbc
acbcaacbcabbbbb bbcbaccccaba
cbbbcbbaacbbbc bbaccccbbcbbbbcaca
baccbcaaacabaacb aaccbbbcbac
acabbcaaacacabaab aaabcbcababacc
cbbcbabbcacbbcacaac cbcabacabaccaac
caabbcabcaccbbacba ccbaaabacbaccbb
cabcaccabcc aabbccacbcacabcccaa
cbbccbbcbbbc cbacaccaacacbccbaab
bbcbcbbacccaacbcabab bacaaaccabaaccabacc
ccbbcbcccac bcabbbbaabcaccbbab
acccaaabcbc baacaabcabac
ccccaacbccba bacbaaabcaababbaa
accccaabbcccccac bcbcbcbaaa
abaaabcabcbcbaab cbacbcbcacaacca
aacbaaacab abbaaccaacbbabbaac
acbccbcbaaacccbaaac abaacabacbbbabbacccc
bccbabcaabaaacaa abaabbcbcbccbbaccba
aabaccbccbbacbaaacb accbcacbabbcbcbac
aacacbbccccbcabba ccabcaaccaabacaaccbc
ccbcaaaabbbcaacc bccbcbabaaaaaca
cccabbbacaacbacc cbcccabaacbaa
bcbaacbbccbbbacabba bacacbaacbbacaaccac
abbccbabaac bbccaaacacb
cababacbcaccccca aabcbbbbbacbcaccabac
baaccbccbac cbabacacccaacabb
baacccabcacabccb bbaaaaaaaaaa
baaaaaaccbcbca acbcccbacccbcbcac
ccccbbaaacbbbc abbabcbcabbbcacbc
acacbacbacbbb abacbccbabaaabcababb
cccacacabc ccbccccbbbbaccab
abcaaccbaabacbbbaab bbbbacacccaabcbcbcba
ccacabaaabcbba baacabacccbacbbbac
bbcabbcbab cbcabacbcccbbabbbc
cacccbbcaabbcbbabc aaccbacbaba
cacaacbccccbb accbccccccbbbbcbcbc
acaabbacbbaccc acccbacabca
caaccbbbccaacccaac babbcabcaccccc
cacaaaaaccc aaacabaaccacc
baccaaabbcbbbabbb baccbaacbac
babccaaabccccacacacb bcbcbcaaccbbcb
bbacbcabbccbabbab ababbbcacccac
cbbacccacccbc accbbcccac
aaabacaaccabbbccaa aacacaaaabbbbaaab
bbbaabbaacccbbb cacbcbaccc
acacbcabaa ccacccbabccabbac
aabcbcccccbbac babbaababbcc
cbabbbabccaab caacabccbbacba
aaccaabbabacaabaaacb ccabcccbbbaaccaaabac
ccaaacccbabaaa caaaaabcbcbbc
cabaabbbaabcbbbabaa cabacbcbcbcbc
acabccaacaab cccbcacaaccaaabbbbcc
cbaaabcacabaabc cbcbcbacbcaabac
bbcbccccabbca ccbbaaccbabb
cabbbcbccab bcaaabbabcac
baacaabbaca bacacaabbcbbaaaa
bbccabbbbca bccccbcbbbcacabbcaa
baabccbacaaccacccab bacaabcccc
cbbacccacaacbabbcb acabaacaacaacbabb
bbcccaabaac bbcaaabbcaaabaacacb
bbcaacbbabaaac baabaababcbbcacbbba
baccaccbca bccbaccabbbc
cabcbcacba acaabacbaca
cbccbbcccccb cbbcacabacbb
cbaabbbaccaccabac bcbabcacababcabca
aacbcccaacacbcabac cccccaaaacaccbabcba
bccaabacbbb ababbababcacbbcac
accaaccaccaaa aaaabbbcbbbaca
abbcbccccaccbba bbaaacacabb
bccabbacaaaaabaabc bbcabaaccb
bccaccaaccbaab cbccbaabcbcaa
bbcbccacacbbacaabcbc aaacacabba
bccabbaaaccbabbcaccc cccacaaccaccaaabcbba
bccbbaaaabaacbbbbc baacacbccabbaaccc
cacabbbcbabc bcccbcbbaab
ccbcaaaabcaacc aacabaccbccccba
bababbabbbcbbaa aabacccccacacaac
cbbabaabacabaaacccab bccccccccacbaa
cabbabbaaabcacbbc cbabcccccaaabcbacb
cbbbcbaabaabbabbaa abbcaabbacbb
abbbbbbcbabcabbcba caabcaaacac
acacabbabbcccabbb caaabccabcba
acbaacbcabcaca bcaaacbbbacaca
bbbbbabccccbaababbb bbaabbcabacabbccabc
ccaccabcbbccb bcbccacacbacccbaacaa
cbbaacbacacba cbabaabcabbbbb
acbbbbbaabccbaac baaccccbbbcbbb
cccacaaaccccaa cbbaccababaacbcaa
aacbbcacbccaaababb cbbaabaaabbbbacabcaa
cacbaabbcabccbac acabccabbcbbacab
abaacbccabbaaca bbbccaabca
abbcccbcbbccc caaacacbcacbb
bbacabcbbab aabcbaccbcacca
babacabaccbbabbc cbabbbbaab
baacccaaababaabbabbb acabbccacabbcbbbbcc
aacabaaabcacba caacaaabbabccacab
baaacbbcbbaaa bbcbccaaaabba
bbacacaccbaacb caccaaaccccbab
bbabaabcbcbbacaccbbc bbcaacaabccbb
cbacccabaccbaabb cccbaccbaaac
cacacbcbccabacab cbcbbbbccacabb
ccaabbacbcbaab caabcbbbbababcacabab
abaacabcccccabbbc abbbcbbbbbcabaca
bbbbcaacccccabbaaab bbcccbcccaabaaccbaac
aaabbabccaccaccbbacc abbbacaaacb
bcbcaacacb acaccabbacabccc
ccaaaaacaabbc aacccabcbc
cccaabbabbaaabaabca baabcbbbbccaaaab
bccabcabaaaababb cbbcbccbbaa
caacacababaaab babaaaaccabb
cababbbacb aacaabacbcba
cbcacbbccabccababab acbcbaaccabbbba
cbbcaacabbacacabbc aacaccacbcbaaacc
acacbababcbabcbaccbc cbaaacbcbcababaa
bcaccacccacbba bbabaacabc
acbaccbccac cbaaaababbcaaaba
bbaaaabacabaacbaaa bbabaabbbbbbbbabbbca
bbbbabccbacbababc aacbcbcccbaaaacbaccb
bbccaaacccccbcaabcb ccacabbccbabbb
cbcacaccbac cacaabbccbacbaaab
ccabcbbaacbaaba abbaababacb
acabacccabaab bababaaabab
bbbbbcbabcbba abbaaaaacbacaabccca
