Data	Temp	Opady
2022-07-17	17,1	0
2022-07-18	18,7	0
2022-07-19	22,1	0
2022-07-20	24,6	0
2022-07-21	24,1	0
2022-07-22	25,6	0
2022-07-23	25	0
2022-07-24	21,8	0
2022-07-25	21,9	0
2022-07-26	20,4	3
2022-07-27	19,9	0
2022-07-28	19,9	7
2022-07-29	21,1	0
2022-07-30	20,7	37
2022-07-31	16,6	0
2022-08-01	19,7	5
2022-08-02	21	1
2022-08-03	21,9	0
2022-08-04	22,6	0
2022-08-05	24,4	0
2022-08-06	20,1	0
2022-08-07	18,5	0
2022-08-08	17,1	0
2022-08-09	19,6	0
2022-08-10	19,2	0
2022-08-11	17,1	3
2022-08-12	17,6	0
2022-08-13	19,8	0
2022-08-14	22	4
2022-08-15	23	0
2022-08-16	22,2	0
2022-08-17	22,9	0
2022-08-18	24,1	0
2022-08-19	26,8	0
2022-08-20	24,5	0
2022-08-21	20,7	4
2022-08-22	20,1	11
2022-08-23	21,9	0
2022-08-24	21,2	4
2022-08-25	23,2	0
2022-08-26	22,9	0
2022-08-27	22,9	0
2022-08-28	22,7	0
2022-08-29	20,6	0
2022-08-30	18,6	0
2022-08-31	16,2	1
2022-09-01	15,5	0
2022-09-02	14,4	0
2022-09-03	14,3	0
2022-09-04	15,5	0
2022-09-05	16,5	0
2022-09-06	15,8	0
2022-09-07	16,4	0
2022-09-08	19,8	0
2022-09-09	19,4	0
2022-09-10	15,3	0
2022-09-11	14,3	0
2022-09-12	12,2	0
2022-09-13	14,7	0
2022-09-14	18,4	0
2022-09-15	16,6	6
2022-09-16	14,5	0
2022-09-17	12,6	0
2022-09-18	10,3	8
2022-09-19	9,3	6
2022-09-20	10,3	6
2022-09-21	10,3	0
2022-09-22	10,1	2
2022-09-23	10,5	0
2022-09-24	10,4	0
2022-09-25	12,4	0
2022-09-26	12	3
2022-09-27	12,2	2
2022-09-28	13,3	0
2022-09-29	11	6
2022-09-30	11,8	10
2022-10-01	13	4
2022-10-02	12,1	8
2022-10-03	10,4	2
2022-10-04	10,5	0
2022-10-05	11,5	0
2022-10-06	15,4	0
2022-10-07	15,1	0
2022-10-08	15,3	0
2022-10-09	11,9	0
2022-10-10	10,2	0
2022-10-11	10,5	0
2022-10-12	7,5	0
2022-10-13	8,2	0
2022-10-14	11,6	0
2022-10-15	14,9	0
2022-10-16	16,1	0
2022-10-17	16,6	0
2022-10-18	16,8	0
2022-10-19	11,6	2
2022-10-20	5,5	0
2022-10-21	7,5	0
2022-10-22	11,4	0
2022-10-23	14,2	0
2022-10-24	14,5	0
2022-10-25	14,3	12
2022-10-26	13,6	0
2022-10-27	12	0
2022-10-28	13,1	0
2022-10-29	14,3	0
2022-10-30	13,8	0
2022-10-31	13,4	0
2022-11-01	11,4	0
2022-11-02	13,2	0
2022-11-03	11	0
2022-11-04	12,4	0
2022-11-05	9,8	9
2022-11-06	8,6	0
2022-11-07	9,3	0
2022-11-08	9,3	0
2022-11-09	10	0
2022-11-10	7,7	0
2022-11-11	9,8	0
2022-11-12	9,1	0
2022-11-13	6,4	0
2022-11-14	6	0
2022-11-15	7,5	0
2022-11-16	5,9	7
2022-11-17	1,2	3
2022-11-18	-1	0
2022-11-19	-2,3	0
2022-11-20	-2,8	0
2022-11-21	0,8	1
2022-11-22	2,8	0
2022-11-23	-0,1	0
2022-11-24	0,1	1
2022-11-25	1,3	0
2022-11-26	4,5	0
2022-11-27	2,3	0
2022-11-28	2,1	0
2022-11-29	0,2	0
2022-11-30	-0,5	0
2022-12-01	0,9	0
2022-12-02	-1	0
2022-12-03	0,4	0
2022-12-04	2,1	0
2022-12-05	4,5	0
2022-12-06	2,8	7
2022-12-07	2,5	1
2022-12-08	2,3	0
2022-12-09	2,2	14
2022-12-10	0,6	0
2022-12-11	-1,9	0
2022-12-12	-2,6	0
2022-12-13	-3,1	0
2022-12-14	-4,6	0
2022-12-15	-1,6	0
2022-12-16	-0,7	0
2022-12-17	-3,3	0
2022-12-18	-4,9	0
2022-12-19	-5,6	0
2022-12-20	2,1	5
2022-12-21	1,9	8
2022-12-22	3,7	0
2022-12-23	4,4	0
2022-12-24	5,8	8
2022-12-25	6,2	0
2022-12-26	8	0
2022-12-27	5,9	0
2022-12-28	3,2	0
2022-12-29	4,7	0
2022-12-30	5,1	0
2022-12-31	9,3	0
