IdTransakcji	IdProduktu	Cena	Liczba
166	84	12	11
167	69	8,9	9
167	95	7,5	13
167	2	13,7	14
168	7	5	12
169	81	13,7	10
170	70	13,5	9
171	1	14,5	11
172	10	3,4	4
172	90	7,5	11
173	26	21	14
173	89	12	8
173	64	14	7
173	90	15	14
174	62	6,56	8
175	85	25,6	10
176	33	17	6
177	50	6	3
178	26	8,9	13
179	23	6,9	13
180	23	6,9	14
181	50	6,75	4
182	79	15	11
182	82	24,5	10
183	62	19,7	15
184	79	15	8
185	45	8	5
186	96	7	13
187	15	14,2	8
188	4	15	14
189	34	18,7	3
190	39	7	8
191	87	12,4	4
192	17	15,4	9
193	25	8,2	5
193	31	8,2	3
194	61	8,2	14
195	18	15,66	15
195	45	13,5	3
196	58	20	9
197	1	7	13
198	26	4,5	13
198	86	14,9	7
199	82	5	5
200	84	12,5	6
201	15	14,2	10
202	85	5	4
202	75	11,6	15
203	65	19,5	15
204	45	15	8
205	85	12,8	1
206	70	13,7	3
207	94	12	13
208	53	20	12
208	42	12,7	6
209	46	15	3
210	73	11,3	14
211	62	5	12
211	84	12	3
212	26	7,5	6
212	90	15,8	5
213	90	14,5	14
214	90	8	7
214	42	8	1
214	44	5	3
214	32	12,5	6
215	68	16,5	9
216	13	5	5
216	55	5	5
216	14	5	6
217	87	8,5	4
218	77	21,7	8
218	63	18,9	7
219	37	14,8	9
220	8	6	15
220	68	16,5	5
221	54	11,84	14
221	85	13,16	5
222	75	13,5	1
223	59	13,2	8
224	72	17,2	4
225	54	10,85	15
225	94	14,15	8
226	2	14,8	4
227	80	19,53	7
227	45	15,21	7
227	64	17,01	7
228	73	10	10
229	69	3,25	7
229	68	3,25	10
230	48	8,16	8
230	95	6	14
231	2	3,4	9
231	90	7	4
232	81	8	9
232	4	15	7
233	58	16,7	2
233	37	16,7	7
234	26	3,5	6
235	28	8,2	8
235	4	5,2	3
236	27	8	11
236	33	4,8	3
237	60	15,5	7
238	85	10	6
238	23	34	7
239	67	12,5	15
240	87	25,65	3
241	57	6,5	7
241	87	31,6	14
242	81	15	9
243	6	4	11
243	6	3,4	9
244	33	18,5	1
245	55	5	6
246	42	7	15
247	87	7,9	4
248	85	11,52	8
249	72	10	8
249	41	10	8
249	38	10	3
249	69	13,5	8
250	16	14,5	7
251	56	13,7	3
252	79	15	15
253	64	6	2
254	77	15,9	15
255	4	5	8
256	49	7,5	7
256	66	2,5	3
256	62	8,2	9
257	21	12	4
257	5	3,4	2
258	43	8	6
258	45	8	9
259	1	8	12
259	47	7	5
260	90	5	3
261	65	3,4	12
262	95	12,9	14
262	58	6	3
262	82	11	3
262	67	11	7
262	9	7	12
262	26	10,9	8
262	46	5	9
263	61	23,7	12
264	4	5	13
264	2	3	3
265	59	7	3
265	47	4,4	5
265	10	3,4	13
265	54	4,4	5
266	15	15,7	11
266	69	13,7	5
266	28	8,2	4
267	64	6,3	3
268	75	10	15
269	94	12,2	4
270	8	7	10
271	15	14,4	5
271	84	18,7	9
272	43	8	5
272	9	18	5
273	85	5	6
274	17	16,5	8
275	54	17	10
276	26	8,2	6
276	32	8,2	10
277	6	8,5	7
278	23	8,4	5
279	43	12,02	1
279	53	8,48	3
280	70	7,5	13
280	54	15,8	2
281	48	3,4	7
281	15	13,5	12
282	43	17	11
282	75	17	15
283	83	4,5	4
284	68	4,8	2
284	70	4,8	12
285	85	17	10
286	8	39,5	11
287	25	6,3	1
287	94	13,5	14
288	43	17	15
289	95	10,9	6
290	35	22	8
290	49	12,5	7
291	12	4,5	9
292	58	3,4	7
292	94	7,9	10
292	53	7	7
293	82	7	15
294	77	14,4	4
295	90	8	2
295	7	4	4
295	8	4	3
295	9	4	12
296	26	4,5	12
296	10	3	6
297	85	12,8	4
298	84	12	14
299	15	5	10
300	52	8,9	11
300	12	8	6
301	27	2,6	2
302	88	8,2	5
303	61	8,2	2
304	64	13	13
304	38	13	14
305	77	22	2
306	87	8,9	6
306	50	12	11
307	89	25,65	2
307	15	11,5	8
308	35	3,39	3
308	69	6,11	15
309	10	17	2
310	34	17	13
311	2	5	11
312	15	5	11
313	70	8	11
314	15	10	6
315	7	5	10
315	33	3	11
316	19	4,5	5
317	69	13,8	2
318	53	7	2
318	6	14,5	7
319	18	21,5	4
320	33	5,5	3
321	67	20,9	4
321	90	7	1
322	14	15,5	4
322	15	14,2	6
322	27	8	5
323	23	8,3	6
324	23	12,5	6
324	22	12,5	1
325	13	28,5	13
326	3	2,89	13
326	17	8,07	12
327	74	10	1
328	55	6	10
329	26	2	12
330	54	14,9	6
331	51	30	10
331	26	9,5	8
332	40	4,5	11
332	23	5,85	6
333	62	3,6	3
333	86	13,41	4
333	37	9,45	6
334	73	4	8
335	82	13,5	14
336	54	16,5	3
336	70	12	11
337	2	13,7	2
338	4	15	13
338	33	17	6
339	34	3,4	3
339	92	4	13
340	10	18,5	4
341	84	3,41	9
341	88	3,41	3
342	17	14	15
343	79	27	3
344	51	10	7
345	82	13	7
346	50	6	12
346	45	5	5
347	13	6,5	8
348	16	11,76	5
349	10	12,5	15
350	38	11,6	7
351	37	17,4	5
352	34	18,5	4
353	27	18,5	2
353	30	18,5	6
354	4	5,4	2
355	45	7	15
356	86	10	9
357	48	11,5	8
358	32	8,2	10
359	9	11,75	10
360	52	8	7
361	81	8	7
362	58	11,52	11
362	68	5,2	4
362	90	5	9
362	43	14,8	9
362	31	15,12	11
363	21	3,9	3
363	39	5	12
363	26	10,9	12
364	6	39,5	13
364	10	39,5	6
365	4	15,5	12
365	15	4,5	6
365	8	11,5	2
366	42	5,6	8
367	60	22,5	8
368	43	6,5	2
369	9	7	1
370	88	7,9	4
370	84	12	10
371	21	22,05	10
372	39	15	8
373	53	7	2
373	4	5,4	5
373	47	5,8	8
374	51	13	2
375	50	7,5	12
376	55	12	11
377	3	3,4	11
378	30	8	15
378	67	13,5	15
378	12	15,5	8
379	14	7	11
380	21	18,5	7
380	15	14,2	7
381	91	18,5	1
382	59	23,7	13
383	4	20,3	13
383	63	10	3
384	17	12,32	7
385	77	15	15
386	85	10	1
386	24	12,5	1
387	68	10	7
388	58	20,25	8
388	17	13,5	12
388	67	18,45	12
388	78	12,6	10
389	58	19,8	3
389	4	27,5	12
389	26	7,9	2
390	78	7	12
390	76	15	9
391	42	16,65	12
392	8	8,5	11
392	54	4,8	13
393	70	13,5	13
393	42	7,9	12
394	4	15	5
394	15	5	6
395	50	8	5
395	46	8	12
396	6	6	14
396	9	6	4
397	97	10,9	7
397	87	12,4	1
397	51	10,9	8
398	67	25,5	15
398	10	3,4	5
398	22	9,6	3
398	2	3,4	9
398	12	9	5
398	10	9	3
399	36	12,5	15
400	26	3,4	15
401	43	17	5
402	15	14,2	15
403	40	10,5	13
404	27	3,7	13
404	28	3,7	4
405	63	18,9	10
406	90	12,4	5
407	4	3,9	9
407	56	8	6
408	8	12,2	12
409	76	8	7
410	71	16,3	5
411	69	7	10
411	47	4	5
411	44	5	13
411	2	7,25	1
412	1	8	10
412	47	4,4	12
412	3	3,4	8
412	74	4,4	3
412	28	3,7	13
413	70	5,3	13
414	8	8,5	5
415	12	5	6
416	9	8,5	1
417	23	8,3	4
418	23	8,4	6
419	39	10,95	8
419	41	13,7	3
420	46	12,25	9
421	85	17	11
422	47	28,5	3
423	16	29	10
423	69	4,8	1
423	65	8,9	14
424	33	34	12
425	89	17,5	15
425	10	17,5	13
426	45	6,72	1
427	64	16,4	2
428	59	24,6	14
429	62	14,5	8
429	52	6,5	2
430	54	16,5	4
431	47	7	9
432	20	3,5	1
433	86	11,6	8
434	90	15	4
435	90	6	2
436	26	18,5	6
437	55	11	5
438	82	18,5	2
439	45	6,53	8
439	3	6,53	15
439	41	6,53	14
439	32	9,31	1
440	84	4,9	1
440	69	11	14
441	16	14,14	5
441	42	6,86	6
442	7	4	13
442	15	4	7
443	69	7,5	14
444	72	4,6	5
445	33	19,5	11
446	8	8	10
446	54	14,9	13
446	51	17	1
447	58	2,72	15
447	50	6	9
448	78	5	8
449	54	17	9
449	70	5,3	12
450	66	2,5	11
451	79	18,9	7
452	46	4,9	12
452	17	3,5	14
453	77	14	2
454	21	18,5	13
455	91	24	8
456	41	10,2	7
457	71	13	9
458	15	5	13
458	21	18	5
459	88	6,56	10
459	71	16,86	7
460	80	23,5	15
461	34	14	5
461	34	14	4
462	58	3,4	15
463	15	13,5	10
463	54	18	6
463	9	18	12
463	53	18	4
464	62	23,5	11
464	58	3,4	7
465	61	18	7
466	83	25	2
466	79	15	10
466	6	39,5	2
467	3	13,68	15
467	73	10,17	1
468	4	5	6
468	10	6,8	4
469	62	25,65	11
470	62	3,6	12
470	39	3,6	13
471	54	4,8	5
471	52	3,4	3
471	53	7	11
472	62	10,2	14
472	52	10,2	12
473	31	18,9	15
474	27	7	3
474	48	3,4	15
475	50	7,5	13
476	7	5	2
477	58	11,5	6
478	95	7,52	11
478	26	6,14	4
478	52	6,14	15
479	46	10,5	3
480	88	7,5	13
481	46	18,4	10
482	90	15	14
482	54	17	15
483	84	12,4	11
484	42	8,3	9
485	78	5,66	11
486	54	9,6	8
486	58	6,8	10
487	7	3,2	10
487	7	3,2	5
487	49	12,8	9
487	42	10,16	13
488	55	11,7	11
489	75	13	11
490	82	30	15
490	74	10	2
490	86	5	15
491	89	4	14
491	10	4	8
492	96	4,8	14
493	12	6	15
494	59	7	6
495	84	13,5	2
496	9	8	10
497	69	14	2
498	34	16,5	12
499	48	14	11
500	30	11,7	8
500	29	14,6	3
501	9	8,5	2
501	58	3,5	7
502	61	23,7	8
502	25	3,8	6
503	33	18,5	15
504	94	7,9	14
505	84	16,5	1
506	82	5	9
507	38	11	8
507	75	11	4
507	70	11	2
508	69	5	3
508	39	5	3
509	14	13	7
510	49	4	6
511	26	18,5	13
511	14	22	12
512	8	3,4	11
512	54	4,8	4
513	69	12,5	7
514	25	7	12
515	42	10	6
516	10	3,4	14
517	76	11,8	12
517	59	23,5	3
517	4	5	5
518	10	14,85	6
519	31	13,2	7
519	42	14,8	10
519	95	8,4	8
520	6	14,5	1
521	42	6,3	7
521	45	6,3	4
522	15	10	4
523	39	35	6
524	43	12,7	2
525	23	6,21	15
526	67	19,5	10
527	87	3,5	14
527	4	5	12
528	58	16,5	11
529	3	3,4	13
530	68	7	7
530	45	7	3
531	34	14,85	6
532	39	4	7
533	82	14,5	12
533	2	28,9	5
534	70	5,3	13
535	31	17	15
536	84	24,5	2
537	50	12	9
538	39	7	2
538	62	7,5	4
538	26	8	15
539	61	20,25	13
540	18	7	10
541	39	7,5	8
542	81	18,7	14
543	52	11,5	12
543	33	3	3
544	54	24	4
545	7	3,5	7
546	45	6,3	1
546	34	15,3	5
547	8	4	7
548	39	19,9	11
548	48	11,6	6
548	72	12,7	14
549	39	3,6	3
549	58	11,7	8
549	72	11,7	1
550	84	17	8
551	95	10,71	6
551	54	15,3	10
552	25	7	5
553	6	7	14
554	45	4,8	6
555	41	8	3
556	68	13,5	1
557	78	22,5	1
557	81	7	6
558	54	6,5	8
558	3	7	5
559	8	10	10
560	52	6,5	12
560	23	6,5	12
561	6	14,5	4
562	58	3,06	10
562	54	4,32	5
563	90	6,85	1
563	1	14,15	14
564	84	12,5	14
565	23	8,4	15
566	22	4,8	6
566	43	7	9
567	65	16,65	15
567	89	21,6	2
567	52	9	4
568	18	13,35	14
569	62	7	2
570	88	7,9	4
571	76	15	2
571	65	15	11
572	78	22,5	13
573	96	7	5
574	45	4,5	13
575	58	3,9	5
575	69	9,5	5
576	12	8	10
577	7	5	2
578	3	5	14
578	69	5	12
579	4	5	11
580	25	3,5	7
580	28	3,5	11
580	33	3	7
581	54	13,41	12
582	41	13,7	10
583	90	12,4	3
583	68	14,2	4
583	75	11,8	3
584	87	7,5	4
585	92	3,6	10
586	81	4,6	14
586	54	7	1
586	44	5	13
587	23	6,21	5
587	80	11,61	8
588	14	5	4
589	86	5	11
589	13	5	8
590	69	30	2
591	51	22,5	9
592	43	15,5	8
592	9	5,47	8
593	37	16,5	6
594	67	4,6	1
595	23	6,9	5
596	58	13,7	15
597	40	4,5	5
598	87	11,16	5
599	93	14,2	10
599	46	18,4	9
600	15	5	11
601	80	23,7	1
602	7	14,5	9
603	40	49	2
604	12	7,2	4
604	7	7,2	6
605	64	11	4
606	78	11,9	7
607	81	7	9
607	45	5	3
608	97	12,5	9
609	4	15,5	6
610	81	21,7	12
610	67	18,9	14
611	67	20,5	11
612	17	1,95	13
613	42	7,2	13
614	25	8,2	7
615	7	9	2
616	17	13,86	2
617	56	13	13
618	88	10,5	15
619	82	13	11
619	95	13	13
620	15	5	1
620	26	3,7	11
620	3	4,8	5
621	48	14	7
621	58	24,7	2
622	59	20	9
623	26	11,9	11
623	74	24	5
624	79	3,6	7
625	80	18	14
626	87	12	10
627	15	10	6
628	9	11,8	4
629	84	7	1
630	50	6	11
631	45	9,2	14
631	25	4,25	7
631	28	2	1
631	70	3	11
632	3	14	2
633	2	10,17	2
634	62	5	7
635	52	8,9	4
636	69	11,6	14
637	58	23,5	11
638	24	6,75	11
639	52	18,7	12
639	68	14,4	9
640	45	13,5	4
641	45	7	8
641	41	7	5
642	9	4	10
642	66	4	3
642	92	4	4
642	6	4	13
643	58	23,7	2
644	64	13	6
644	38	13	14
644	76	13	5
644	53	12	4
644	78	12	3
645	75	21,5	13
645	63	8,9	7
645	68	11,1	13
646	43	17	7
647	32	12	1
648	2	3,6	13
648	50	6	8
649	73	21,2	4
649	85	9	7
650	92	13,5	2
651	94	15	13
652	74	10	14
653	59	18,9	15
654	50	6	5
655	44	15,21	6
655	1	8,82	11
656	57	21,7	3
657	69	7,5	13
658	2	18	6
658	94	7,9	13
659	32	8	13
660	2	16	10
660	39	17	15
661	6	3,5	13
662	85	16,5	3
663	53	6,9	12
663	82	21,7	7
663	26	8,9	4
664	31	14	7
665	90	7,5	15
666	70	5	15
667	32	13	2
668	41	7	3
669	70	4,75	3
670	22	5	1
670	61	4,65	2
671	59	56	8
671	90	14	6
671	7	7	2
672	6	2,72	1
673	58	21	12
674	15	13,5	1
674	68	13,5	12
675	83	5	12
676	94	14,5	6
677	41	7,7	13
677	43	14,87	4
678	10	9	12
679	24	3,7	6
680	62	5	7
681	58	6	9
681	28	12,5	7
682	84	18,7	15
683	52	22	7
684	60	28,5	6
685	50	6	13
686	1	8	14
686	32	25	15
687	3	6,94	3
688	43	12	6
689	95	25	13
690	62	21,7	2
690	45	15	3
691	35	3,4	13
691	45	4,8	12
692	76	13,5	1
692	74	13,5	14
693	69	18,5	6
694	4	15,5	2
695	88	8	3
696	88	24,5	15
697	55	5	3
697	76	10	11
698	61	20	7
699	31	8,2	9
700	50	15	8
701	17	7,5	11
702	13	28,5	4
703	23	10,9	14
704	85	17,01	11
705	55	8,5	15
706	16	14,5	1
707	26	8,2	12
707	27	8,2	7
708	77	21	7
708	15	39,5	2
709	58	6,8	11
709	54	4,8	9
710	4	15,5	8
710	62	4,8	7
711	68	2,5	8
712	67	18,81	1
712	76	11,7	14
713	32	8	13
713	32	18,5	10
714	83	18,5	12
714	70	13,5	6
714	4	5	6
715	68	13,5	1
716	5	13,5	14
717	22	8,5	15
717	10	16,5	7
718	82	5	14
719	68	2,5	1
720	76	25,9	7
721	45	15,21	2
722	14	5	13
722	56	5	12
722	69	13,5	7
723	12	10,5	6
723	7	3,4	9
724	77	15,9	12
725	21	12	6
725	56	12	5
726	78	15	8
727	35	2,72	7
727	45	3,84	9
727	35	9,99	9
728	5	11,5	3
729	35	7	14
729	62	4,68	8
729	3	3,32	3
730	61	3	12
731	83	10,5	15
731	43	17	6
732	34	3,4	14
732	5	3,4	1
733	52	7	15
734	11	8	5
734	22	16	7
735	71	13	4
735	66	4,5	11
736	6	5	13
737	95	9,2	10
737	78	5,6	3
737	76	11,6	14
738	34	3,4	11
738	27	4,8	5
738	61	3,4	12
739	9	8,5	13
740	42	18,9	1
741	68	11	6
742	54	12,64	14
743	43	17	4
743	9	17	7
744	16	7	3
744	34	3,4	4
744	61	3,4	3
745	96	4,8	12
746	19	12,15	14
747	82	11	15
748	5	3,32	11
748	45	4,68	12
749	35	12,5	1
750	1	14,5	11
751	13	7	5
751	90	8	11
751	4	5	14
751	86	7	10
751	81	8	15
752	21	12,5	6
753	37	16,7	11
754	61	8,2	12
755	42	7,2	7
756	42	5	13
757	69	10,8	2
758	35	18,5	4
759	40	5	11
760	52	3,45	1
761	85	12,8	8
762	76	13,5	15
763	49	22	2
764	91	10	8
765	80	13,5	12
766	88	7,9	2
767	88	7,5	10
767	48	3,4	14
768	59	7	11
768	15	3,5	13
769	54	12,64	10
770	21	13,6	12
770	28	9,84	7
770	42	15,12	7
771	37	16,5	6
772	26	7,5	1
772	87	4,5	7
772	58	10,5	14
773	58	9,68	7
774	79	39,5	14
774	23	3,5	9
774	83	24,5	13
774	84	24,5	5
775	94	15	4
776	10	16,5	3
777	80	6,4	9
778	15	6,25	4
778	11	8,25	11
778	4	2,4	6
779	62	15	11
780	9	6	1
780	70	8,4	13
781	4	14,25	3
782	27	7	3
782	2	7,5	15
783	55	7	6
784	23	3,95	9
784	94	3,75	7
785	70	7,5	13
786	59	13,5	12
786	54	14,23	9
787	85	12,8	6
788	6	5	12
788	42	7,9	10
789	79	22,5	9
790	42	7	2
791	8	8,5	6
792	24	11,25	5
793	62	9,85	12
793	29	5	15
794	5	3,4	10
795	95	10,7	8
795	72	13	8
796	5	3,4	9
796	10	18,5	4
796	16	7	10
797	77	23,7	3
798	84	17	1
799	62	16,5	5
799	58	16,5	2
800	9	3,5	9
801	13	6,5	7
802	14	4,5	2
802	12	12,5	9
803	3	7	7
803	58	7,5	5
804	6	6,8	14
805	62	15	12
805	67	7	2
806	90	14,5	13
807	77	17	8
808	70	7,5	7
808	46	7,5	7
808	35	3,4	10
808	34	3,4	2
809	1	8,8	8
810	82	11	1
811	88	6,2	3
812	85	12,8	10
813	25	3,8	1
814	79	15	9
815	62	8,5	7
815	9	3,9	12
816	58	13,7	15
817	82	5	8
818	67	9	10
819	94	7,5	10
820	5	7	14
820	31	5	2
820	6	3,5	14
821	4	3,9	4
821	69	9	10
822	24	12,5	3
823	58	3,5	11
823	54	4,9	14
823	58	12,1	15
823	19	14,4	10
824	85	12,8	3
824	67	20,9	9
825	59	22,5	7
826	2	5,2	8
827	94	39,8	9
828	26	3,4	15
829	65	15	10
830	50	6	8
830	42	5	7
831	54	4,8	14
832	73	13	11
833	69	14	4
833	78	16,7	8
833	48	6,8	3
833	15	5	11
834	69	13,8	1
835	69	18,5	14
835	45	14,7	5
836	87	7,5	3
837	87	8	1
838	37	17,4	3
839	88	6,4	1
839	68	10,8	7
840	9	22,5	11
841	10	12,5	15
841	11	6,5	1
842	2	3,4	14
843	2	11	11
844	42	16,65	8
845	25	8,9	13
846	3	7	11
846	70	5,3	11
847	7	8	9
848	6	9	5
848	50	6	5
849	3	8	7
850	96	6	2
851	83	18,5	15
852	50	6	8
853	59	4,67	9
853	59	4,67	1
853	27	4,66	9
854	14	35,55	10
855	45	16,9	7
856	94	15	13
857	44	13,2	2
858	75	13,5	11
858	73	13,5	12
859	88	7,9	8
860	84	18,7	10
861	85	24,5	5
862	54	14,5	9
863	2	10,4	14
864	23	8,3	15
865	60	23,7	10
866	14	6,5	4
867	87	8,9	8
868	82	15	10
869	54	4,9	9
870	2	5	13
871	27	7	4
872	63	12,5	2
873	93	13,5	12
873	4	15,5	10
874	2	11,3	1
875	43	30	9
876	45	5	7
876	43	5	15
877	45	4,5	6
878	84	19,2	14
878	50	19,2	11
878	19	3,59	1
879	91	16,5	12
880	70	7,5	7
881	46	8,15	2
882	22	4,8	11
883	15	14,2	8
884	33	18,5	9
885	64	7	11
886	54	3,25	7
887	46	7,2	12
888	22	12,5	3
888	57	20	12
889	95	7,2	5
889	46	7,2	9
889	4	24,48	15
889	32	24,3	11
889	44	4,5	12
890	75	13,5	8
891	34	35	9
891	51	24,5	2
892	38	14,4	4
892	42	14,4	11
893	84	10,5	1
894	78	7	13
895	69	11	14
896	4	13,05	10
896	85	6,3	5
897	94	7,5	12
898	10	39,5	2
899	7	8	5
899	52	14	3
899	54	3,6	11
899	58	1,4	6
900	85	7	9
901	70	4,8	13
901	73	4,8	7
902	84	6,62	1
902	90	14,38	12
903	96	4,8	12
903	6	3,5	7
904	22	12,5	15
905	53	7	1
905	73	4,4	6
906	31	15,3	8
907	2	10,17	11
908	59	5	10
909	61	12,5	12
909	23	12,5	2
910	87	5	7
911	46	7	11
912	27	8,2	6
913	97	17,4	1
914	96	5	8
915	31	18,5	6
915	52	12	14
916	45	16,5	3
917	15	14,4	13
918	72	13	13
918	78	12	15
919	45	15	1
919	46	12,9	4
919	41	10,2	1
919	52	10,2	4
920	86	13,05	12
920	34	14,85	7
920	60	18	13
920	65	3,06	1
921	85	17	13
922	57	7,9	5
923	45	5	7
924	53	7	4
925	72	10,4	7
926	58	20,65	8
927	43	11,7	5
928	95	12,1	10
929	82	13,7	15
930	96	7,6	11
931	77	22,5	3
932	18	10,9	5
932	22	13,4	9
933	28	3,7	5
934	58	6	11
935	55	6,5	2
935	80	12,5	4
935	94	15	14
936	44	5	3
936	50	7,5	2
937	14	13,9	1
938	45	7	4
938	41	7	12
939	14	13,2	13
939	62	6,8	5
939	9	3,9	1
940	74	32	15
941	76	10	12
942	14	5	12
943	59	23,7	7
943	46	14	12
944	46	7,9	13
945	76	8,35	1
946	69	7	7
947	76	13	13
947	49	25	6
948	74	4	14
949	15	54	9
950	68	10	13
951	58	21	1
952	23	8,4	3
953	67	13,5	3
954	11	6,5	13
955	59	11,25	1
956	2	10,4	8
957	67	20,9	13
958	14	5	13
959	3	22	14
960	62	15,2	7
960	2	14,9	14
961	6	6,8	10
961	3	8	8
962	43	4	15
963	77	19,68	4
963	63	16,4	11
964	82	13,9	8
965	53	10	6
966	17	3,9	8
966	46	5,5	8
967	57	21,5	10
968	43	16,5	5
969	1	15	3
970	3	7	9
971	69	6,7	2
971	15	11,7	15
971	66	2,5	15
972	42	10,5	9
972	77	15	3
973	95	11,9	7
974	50	6	2
975	87	7,5	8
976	84	12,4	9
976	87	24,8	9
977	43	24,5	7
978	9	11,5	14
979	50	6	13
980	59	20	11
981	14	5	12
982	77	23,5	13
983	32	10	2
984	11	6,5	9
985	84	13,5	14
986	58	12,5	15
986	20	3,5	11
987	53	7	15
988	70	7,9	12
988	53	14	1
989	10	12,5	3
990	84	7	13
990	90	15	8
991	58	22,9	14
992	66	18,5	7
993	25	5,6	7
993	13	9,04	8
993	45	4	14
993	42	4	9
994	29	5	4
995	50	6	13
996	48	4,8	3
997	2	13	6
998	6	7	13
999	30	4,8	13
1000	58	20,61	14
