IdTransakcji	DataTransakcji	IdKlienta	IdSklepu	IdSprzedawcy
319	03.01.2025	2011	26	110
320	03.02.2025	166	2	43
321	03.03.2025	538	4	149
322	03.04.2025	860	10	103
323	03.05.2025	1068	12	104
324	03.06.2025	2016	27	99
325	03.01.2025	1457	16	176
326	03.02.2025	1779	20	
327	03.03.2025	1043	12	120
328	03.04.2025	1896	25	96
329	03.05.2025	306	3	58
330	03.06.2025	1564	20	
331	03.01.2025	884	7	193
332	03.02.2025	430	5	
333	03.03.2025	1123	12	104
334	03.04.2025	1510	20	
335	03.05.2025	470	5	11
336	03.06.2025	1059	13	88
337	03.01.2025	1500	16	121
338	03.02.2025	1009	13	159
339	03.03.2025	1896	23	59
340	03.04.2025	633	7	169
341	03.05.2025	1165	12	95
342	03.06.2025	1663	20	
343	03.01.2025	1091	10	39
344	03.02.2025	1841	22	75
345	03.03.2025	2032	31	89
346	03.04.2025	1170	12	148
347	03.05.2025	2	2	160
348	03.06.2025	2020	26	160
349	03.01.2025	723	10	39
350	03.02.2025	2038	30	62
351	03.03.2025	1931	25	189
352	03.04.2025	1917	25	19
353	03.05.2025	976	12	120
354	03.06.2025	606	7	75
355	03.01.2025	1583	20	
356	03.02.2025	2036	28	34
357	03.03.2025	1388	17	134
358	03.04.2025	1952	25	14
359	03.05.2025	1896	25	30
360	03.06.2025	834	6	9
361	03.01.2025	1069	12	160
362	03.02.2025	1078	11	132
363	03.03.2025	779	10	60
364	03.04.2025	2000	25	93
365	03.05.2025	1731	20	
366	03.06.2025	2011	26	
367	03.01.2025	1984	22	115
368	03.02.2025	1154	11	175
369	03.03.2025	1916	25	189
370	03.04.2025	2017	26	15
371	03.05.2025	1939	23	59
372	03.06.2025	997	12	120
373	03.01.2025	772	7	48
374	03.02.2025	2041	29	173
375	03.03.2025	1102	14	33
376	03.04.2025	1074	12	31
377	03.05.2025	1052	12	120
378	03.06.2025	1037	13	54
379	03.01.2025	441	3	91
380	03.02.2025	1778	20	
381	03.03.2025	798	6	9
382	03.04.2025	2018	28	34
383	03.05.2025	2037	31	
384	03.06.2025	1832	23	59
385	03.01.2025	2042	28	77
386	03.02.2025	2030	28	22
387	03.03.2025	904	12	120
388	03.04.2025	1893	25	
389	03.05.2025	1520	18	55
390	03.06.2025	37	2	7
391	03.01.2025	952	14	82
392	03.02.2025	463	3	63
393	03.03.2025	1778	4	36
394	03.04.2025	369	3	191
395	03.05.2025	990	15	10
396	03.06.2025	333	5	11
397	03.01.2025	1836	21	165
398	03.02.2025	1039	13	159
399	03.03.2025	2026	29	90
400	03.04.2025	733	8	84
401	03.05.2025	1233	17	160
402	03.06.2025	1811	25	112
403	03.01.2025	2040	26	52
404	03.02.2025	1085	14	153
405	03.03.2025	919	12	56
406	03.04.2025	2022	13	160
407	03.05.2025	791	8	86
408	03.06.2025	591	3	63
409	03.01.2025	594	3	144
410	03.02.2025	936	12	68
411	03.03.2025	1460	16	27
412	03.04.2025	76	2	43
413	03.05.2025	1991	23	59
414	03.06.2025	1718	20	
415	03.01.2025	561	3	112
416	03.02.2025	2008	30	179
417	03.03.2025	1032	27	4
418	03.04.2025	1902	22	67
419	03.05.2025	2027	26	15
420	03.06.2025	1755	20	
421	03.01.2025	1091	12	178
422	03.02.2025	157	2	7
423	03.03.2025	2020	28	76
424	03.04.2025	1242	17	134
425	03.05.2025	1524	19	69
426	03.06.2025	42	1	122
427	03.01.2025	1826	21	100
428	03.02.2025	1131	12	111
429	03.03.2025	1909	25	
430	03.04.2025	1828	21	
431	03.05.2025	1886	21	
432	03.06.2025	2033	31	150
433	03.01.2025	2031	26	
434	03.02.2025	1740	18	55
435	03.03.2025	1623	20	
436	03.04.2025	265	2	136
437	03.05.2025	835	6	36
438	03.06.2025	876	10	85
439	03.01.2025	538	4	149
440	03.02.2025	1881	23	59
441	03.03.2025	761	8	152
442	03.04.2025	2033	31	89
443	03.05.2025	1997	16	121
444	03.06.2025	831	8	152
445	03.01.2025	2029	26	47
446	03.02.2025	785	8	183
447	03.03.2025	2023	26	157
448	03.04.2025	596	3	63
449	03.05.2025	1978	25	111
450	03.06.2025	1802	23	59
451	02.01.2025	1995	25	14
452	03.02.2025	730	8	139
453	03.03.2025	2025	26	157
454	03.04.2025	534	3	58
455	03.05.2025	1708	20	
456	03.06.2025	2011	30	167
457	03.01.2025	848	7	72
458	03.02.2025	784	9	35
459	03.03.2025	454	5	42
460	03.04.2025	954	11	182
461	03.05.2025	1401	17	134
462	03.06.2025	1068	12	120
463	03.01.2025	1099	12	4
464	03.02.2025	1068	13	160
465	03.03.2025	1014	11	66
466	03.04.2025	614	10	133
467	03.05.2025	1336	17	
468	03.06.2025	1113	12	120
469	03.01.2025	1935	21	100
470	03.02.2025	1181	13	185
471	03.03.2025	1301	16	50
472	03.04.2025	1229	16	176
473	03.05.2025	424	3	107
474	03.06.2025	1130	12	31
475	03.01.2025	1656	20	
476	03.02.2025	1052	13	160
477	03.03.2025	1567	18	55
478	01.01.2025	790	10	14
479	03.05.2025	1631	19	49
480	03.06.2025	1212	16	121
481	03.01.2025	1150	12	68
482	03.02.2025	2002	28	22
483	03.03.2025	426	3	107
484	03.04.2025	901	12	120
485	03.05.2025	742	8	
486	03.06.2025	1986	22	67
487	03.01.2025	1836	23	
488	03.02.2025	713	8	152
489	03.03.2025	614	6	75
490	03.04.2025	966	12	120
491	03.05.2025	743	10	37
492	03.06.2025	1873	25	30
493	03.01.2025	1968	21	138
494	03.02.2025	1182	13	63
495	03.03.2025	1291	16	161
496	03.04.2025	997	14	188
497	03.05.2025	787	8	19
498	03.06.2025	1779	18	
499	03.01.2025	1121	13	88
500	03.02.2025	1944	25	19
501	03.03.2025	1844	22	67
502	03.04.2025	1943	24	174
503	03.05.2025	868	10	103
504	03.06.2025	976	13	168
505	03.01.2025	427	3	
506	03.02.2025	1233	16	98
507	03.03.2025	866	6	160
508	03.04.2025	1890	25	93
509	03.05.2025	578	3	144
510	03.06.2025	1821	22	
511	03.01.2025	170	1	122
512	03.02.2025	2008	28	
513	03.03.2025	1048	12	178
514	03.04.2025	396	3	
515	03.05.2025	1054	12	120
516	03.06.2025	1715	18	55
517	03.01.2025	788	16	65
518	03.02.2025	869	9	
519	03.03.2025	1454	16	65
520	03.04.2025	397	3	58
521	03.05.2025	910	13	
522	03.06.2025	1696	18	55
523	03.01.2025	165	2	118
524	03.02.2025	1082	11	
525	03.03.2025	313	4	98
526	03.04.2025	2044	26	157
527	03.05.2025	522	3	144
528	03.06.2025	1827	21	87
529	03.01.2025	498	4	166
530	03.02.2025	2007	26	57
531	03.03.2025	602	10	
532	03.04.2025	331	3	
533	03.05.2025	591	3	181
534	03.06.2025	1526	20	
535	03.01.2025	1161	12	104
536	03.02.2025	2043	26	52
537	03.03.2025	622	10	14
538	03.04.2025	557	4	98
539	03.05.2025	803	9	6
540	03.06.2025	628	10	37
541	03.01.2025	1194	12	
542	03.02.2025	786	8	139
543	03.03.2025	1622	6	160
544	03.04.2025	804	10	37
545	03.05.2025	900	10	37
546	03.06.2025	865	10	72
547	03.01.2025	445	4	36
548	03.02.2025	1237	16	176
549	03.03.2025	1883	25	43
550	03.04.2025	603	10	
551	03.05.2025	934	12	39
552	03.06.2025	1934	25	8
553	03.01.2025	1901	25	8
554	03.02.2025	1909	23	59
555	03.03.2025	1681	20	117
556	03.04.2025	1643	19	
557	03.05.2025	2006	26	
558	03.06.2025	740	9	35
559	03.01.2025	902	14	192
560	03.02.2025	778	10	
561	03.03.2025	2035	30	167
562	03.04.2025	1088	13	168
563	03.05.2025	828	10	37
564	03.06.2025	419	5	11
565	03.01.2025	2023	27	41
566	03.02.2025	2041	30	147
567	03.03.2025	1075	12	
568	03.04.2025	1712	20	
569	03.05.2025	430	3	151
570	03.06.2025	1343	16	161
571	03.01.2025	1812	24	174
572	03.02.2025	1186	11	182
573	03.03.2025	237	2	184
574	03.04.2025	1875	22	124
575	03.05.2025	1124	12	178
576	03.06.2025	1925	25	43
577	03.01.2025	2017	27	14
578	03.02.2025	954	12	120
579	03.03.2025	1403	17	134
580	03.04.2025	1052	12	29
581	03.05.2025	859	8	137
582	03.06.2025	1735	20	
583	03.01.2025	1921	25	112
584	03.02.2025	1759	20	
585	03.03.2025	777	9	81
586	03.04.2025	1219	16	65
587	03.05.2025	1090	12	120
588	03.06.2025	1127	12	120
589	03.01.2025	955	14	153
590	03.02.2025	710	8	
591	03.03.2025	1522	19	78
592	03.04.2025	1078	12	178
593	03.05.2025	1147	14	153
594	03.06.2025	143	2	36
595	03.01.2025	780	10	72
596	03.02.2025	615	8	152
597	03.03.2025	1152	11	
598	03.04.2025	946	12	120
599	03.05.2025	2032	29	163
600	03.06.2025	1757	20	
601	03.01.2025	447	3	143
602	03.02.2025	1464	16	121
603	03.03.2025	1059	12	120
604	03.04.2025	1877	25	8
605	03.05.2025	1869	24	53
606	03.06.2025	1876	25	111
607	03.01.2025	1776	20	
608	03.02.2025	376	3	91
609	03.03.2025	1918	23	125
610	03.04.2025	1046	11	182
611	03.05.2025	924	13	
612	03.06.2025	357	3	191
613	01.01.2025	736	10	14
614	03.02.2025	1123	13	168
615	03.03.2025	1823	25	143
616	03.04.2025	1523	19	92
617	03.05.2025	2004	30	147
618	03.06.2025	1966	25	30
619	03.01.2025	612	10	39
620	03.02.2025	2041	28	76
621	03.03.2025	2001	29	70
622	03.04.2025	1602	20	
623	03.05.2025	714	8	
624	03.06.2025	1173	11	
625	03.01.2025	244	2	7
626	03.02.2025	1581	19	
627	03.03.2025	2023	28	76
628	03.04.2025	899	8	
629	03.05.2025	955	12	104
630	03.06.2025	1134	15	44
631	03.01.2025	605	10	21
632	03.02.2025	1196	13	185
633	03.03.2025	512	5	
634	03.04.2025	215	2	
635	03.05.2025	886	8	19
636	03.06.2025	199	2	136
637	03.01.2025	682	16	65
638	03.02.2025	1009	12	4
639	03.03.2025	1332	16	121
640	03.04.2025	1543	19	49
641	03.05.2025	1895	23	59
642	03.06.2025	476	3	191
643	03.01.2025	1103	13	168
644	03.02.2025	1958	25	171
645	03.03.2025	2024	26	52
646	03.04.2025	168	2	184
647	02.01.2025	1956	25	14
648	03.06.2025	1901	25	43
649	03.01.2025	678	25	19
650	03.02.2025	700	7	2
651	03.03.2025	2002	30	167
652	03.04.2025	918	12	4
653	03.05.2025	956	14	33
654	03.06.2025	2	2	136
655	03.01.2025	721	8	84
656	03.02.2025	1869	25	8
657	03.03.2025	1782	19	
658	03.04.2025	1887	21	27
659	03.05.2025	2039	26	157
660	03.06.2025	922	11	175
661	03.01.2025	2009	28	34
662	03.02.2025	2007	26	
663	03.03.2025	1907	24	1
664	03.04.2025	445	3	181
665	03.05.2025	1655	18	
666	03.06.2025	1363	16	65
667	03.01.2025	1518	20	
668	03.02.2025	1099	12	178
669	03.03.2025	762	8	84
670	03.04.2025	1098	12	120
671	03.05.2025	1117	12	31
672	03.06.2025	2027	30	62
673	03.01.2025	652	10	
674	03.02.2025	950	12	120
675	03.03.2025	1030	13	185
676	03.04.2025	1088	12	
677	03.05.2025	75	2	105
678	03.06.2025	922	13	185
679	03.01.2025	1356	16	128
680	03.02.2025	836	9	
681	03.03.2025	760	10	85
682	03.04.2025	681	10	133
683	03.05.2025	836	8	19
684	03.06.2025	641	10	127
685	03.01.2025	997	12	120
686	03.02.2025	455	3	107
687	03.03.2025	1979	25	
688	03.04.2025	861	25	19
689	03.05.2025	504	3	106
690	03.06.2025	946	12	178
691	03.01.2025	1969	25	111
692	03.02.2025	1375	16	50
693	03.03.2025	423	4	36
694	03.04.2025	670	9	81
695	03.05.2025	1883	22	80
696	03.06.2025	1143	12	120
697	03.01.2025	777	10	97
698	03.02.2025	1511	19	24
699	03.03.2025	2011	30	179
700	03.04.2025	387	3	107
701	03.05.2025	1086	13	127
702	03.06.2025	1160	14	170
703	03.01.2025	2013	27	99
704	03.02.2025	1455	17	134
705	03.03.2025	777	6	
706	03.04.2025	1631	19	24
707	03.05.2025	299	1	122
708	03.06.2025	1071	12	120
709	03.01.2025	880	8	164
710	03.02.2025	1197	12	120
711	03.03.2025	1864	25	8
712	03.04.2025	1474	16	50
713	03.05.2025	1749	20	
714	03.06.2025	1730	18	55
715	03.01.2025	1614	20	117
716	03.02.2025	2012	26	57
717	03.03.2025	813	8	139
718	03.04.2025	1418	17	134
719	03.05.2025	712	8	17
720	03.06.2025	1731	18	55
721	03.01.2025	1097	12	31
722	03.02.2025	1718	18	160
723	03.03.2025	962	12	178
724	03.04.2025	23	2	105
725	03.05.2025	1762	20	
726	03.06.2025	831	8	152
727	03.01.2025	1862	25	93
728	03.02.2025	1718	20	
729	03.03.2025	1608	20	117
730	03.04.2025	1167	14	188
731	03.05.2025	1059	15	40
732	03.06.2025	1929	23	59
733	03.01.2025	532	5	42
734	03.02.2025	196	1	122
735	03.03.2025	1949	25	8
736	03.04.2025	339	4	149
737	03.05.2025	1946	24	
738	03.06.2025	1811	24	
739	03.01.2025	1734	2	118
740	03.02.2025	1095	12	104
741	03.03.2025	1867	21	51
742	01.01.2025	868	10	14
743	03.05.2025	1966	23	59
744	03.06.2025	119	2	
745	03.01.2025	854	10	72
746	03.02.2025	1903	25	43
747	03.03.2025	508	3	63
748	03.04.2025	1072	12	68
749	03.05.2025	1054	13	159
750	03.06.2025	396	5	
751	03.01.2025	1076	12	104
752	03.02.2025	1974	22	101
753	03.03.2025	1174	12	120
754	03.04.2025	1839	25	61
755	03.05.2025	2036	30	60
756	03.06.2025	2023	26	
757	03.01.2025	1174	3	143
758	03.02.2025	1119	14	188
759	03.03.2025	999	11	
760	03.04.2025	721	6	63
761	03.05.2025	1673	20	
762	03.06.2025	591	4	121
763	01.01.2025	807	10	14
764	03.02.2025	535	4	
765	03.03.2025	1033	13	143
766	03.04.2025	1816	25	8
767	03.05.2025	2000	21	138
768	03.06.2025	683	8	17
769	03.01.2025	402	5	64
770	03.02.2025	1101	12	120
771	03.03.2025	614	7	71
772	03.04.2025	1470	17	
773	03.05.2025	911	13	185
774	03.06.2025	678	7	193
775	03.01.2025	839	8	17
776	03.02.2025	993	12	
777	03.03.2025	2000	25	61
778	03.04.2025	1884	25	61
779	03.05.2025	1828	24	102
780	03.06.2025	1634	19	78
781	03.01.2025	1930	24	53
782	03.02.2025	1865	25	
783	03.03.2025	1016	13	123
784	03.04.2025	948	12	95
785	03.05.2025	925	13	123
786	03.06.2025	1011	12	31
787	03.01.2025	547	10	133
788	03.02.2025	1097	11	175
789	03.03.2025	649	6	65
790	03.04.2025	958	11	126
791	03.05.2025	2024	30	62
792	03.06.2025	398	3	106
793	03.01.2025	1984	24	46
794	03.02.2025	1185	12	120
795	03.03.2025	2042	28	34
796	03.04.2025	1171	13	143
797	03.05.2025	2004	27	75
798	03.06.2025	1132	15	83
799	03.01.2025	592	4	149
800	03.02.2025	1340	17	134
801	03.03.2025	381	4	158
802	03.04.2025	466	3	144
803	03.05.2025	1893	25	8
804	03.06.2025	934	11	156
805	03.01.2025	1997	25	43
806	03.02.2025	2037	26	
807	03.03.2025	1191	12	120
808	03.01.2025	2036	27	14
809	03.05.2025	901	12	68
810	03.06.2025	675	8	139
811	03.01.2025	2041	30	60
812	03.02.2025	994	11	156
813	03.03.2025	440	3	125
814	03.04.2025	575	4	25
815	03.05.2025	1369	16	121
816	03.06.2025	2017	28	34
817	03.01.2025	2005	26	47
818	03.02.2025	300	2	36
819	03.03.2025	1531	20	
820	03.04.2025	1003	14	153
821	03.05.2025	1046	12	120
822	03.06.2025	1900	25	93
823	03.01.2025	2031	26	157
824	03.02.2025	1074	12	
825	03.03.2025	1356	16	50
826	03.04.2025	2041	29	173
827	03.05.2025	921	12	120
828	03.06.2025	979	12	
829	03.01.2025	368	5	79
830	03.02.2025	704	10	72
831	03.03.2025	1872	23	59
832	03.04.2025	2034	26	57
833	03.05.2025	2036	29	90
834	03.06.2025	1559	19	
835	03.01.2025	1758	20	
836	03.02.2025	852	10	154
837	03.03.2025	1172	12	120
838	03.04.2025	625	10	146
839	03.05.2025	1869	25	111
840	03.06.2025	919	12	95
841	03.01.2025	927	14	153
842	03.02.2025	508	4	149
843	03.03.2025	1634	19	
844	03.04.2025	197	2	
845	03.05.2025	85	1	122
846	03.06.2025	1187	12	31
847	03.01.2025	610	8	152
848	03.02.2025	678	10	60
849	03.03.2025	1910	25	8
850	03.04.2025	1117	12	120
851	03.05.2025	1852	8	139
852	03.06.2025	1153	12	68
853	03.01.2025	1359	16	50
854	03.02.2025	815	10	97
855	03.03.2025	1665	19	92
856	03.04.2025	1658	18	55
857	03.05.2025	922	14	82
858	03.06.2025	426	3	143
859	03.01.2025	127	1	122
860	03.02.2025	1986	25	8
861	03.03.2025	2030	30	167
862	03.04.2025	1148	12	
863	03.05.2025	955	12	120
864	03.06.2025	567	3	181
865	02.01.2025	1970	25	14
866	03.02.2025	1127	12	120
867	03.03.2025	850	10	133
868	03.04.2025	137	1	122
869	03.05.2025	1043	12	120
870	03.06.2025	503	3	107
871	03.01.2025	1355	16	65
872	03.02.2025	1937	25	8
873	03.03.2025	1139	15	40
874	03.04.2025	1873	22	
875	03.05.2025	499	3	107
876	03.06.2025	741	8	152
877	03.01.2025	2037	26	
878	03.02.2025	1923	25	
879	03.03.2025	831	8	
880	03.04.2025	111	1	122
881	03.05.2025	1411	16	121
882	03.06.2025	394	3	151
883	03.01.2025	914	14	170
884	03.02.2025	1143	12	148
885	03.03.2025	679	8	
886	03.04.2025	858	10	103
887	03.05.2025	845	8	183
888	03.06.2025	614	9	35
889	03.01.2025	1071	13	88
890	03.02.2025	917	11	182
891	03.03.2025	1256	16	98
892	03.04.2025	963	12	120
893	03.05.2025	1997	25	93
894	03.06.2025	1133	11	
895	03.01.2025	753	8	17
896	03.02.2025	128	2	
897	03.03.2025	1812	21	138
898	03.04.2025	1299	17	134
899	03.05.2025	745	9	35
900	03.06.2025	2027	31	89
901	03.01.2025	2016	30	167
902	03.02.2025	976	15	73
